Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Difficulty,Distance,Response Time,Date/Time,Consecutive Rounds
109109,V,H,left,left,yes,HARD,14,0.685545284,2015-06-30T17:40:41.732,1
109109,N,L,left,right,no,EASY,2,0.734564121,2015-06-30T17:40:43.624,2
109109,Q,A,left,left,yes,EASY,16,0.324983065,2015-06-30T17:40:45.103,3
109109,W,I,left,left,yes,EASY,14,6.075370075,2015-06-30T17:40:52.333,4
109109,Y,J,left,left,yes,MEDIUM,15,0.915277996,2015-06-30T17:40:54.397,5
109109,A,L,right,right,yes,HARD,11,0.898716584,2015-06-30T17:40:56.440,6
109109,M,K,left,right,no,MEDIUM,2,1.767320462,2015-06-30T17:40:59.384,7
109109,P,H,left,right,no,MEDIUM,8,0.358350068,2015-06-30T17:41:00.907,8
109109,O,Y,right,right,yes,MEDIUM,10,0.030881593,2015-06-30T17:41:02.086,9
