Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time
9213,H,I,right,left,no,1,2.55298E-4,2015-06-25T21:17:14.663
9213,D,C,left,left,yes,1,1.8388E-5,2015-06-25T21:17:16.183
9213,I,T,right,left,no,11,1.7105E-5,2015-06-25T21:17:17.721
9213,I,T,right,left,no,11,1.4112E-5,2015-06-25T21:17:18.878
9213,Q,G,left,left,yes,10,1.5395E-5,2015-06-25T21:17:19.437
9213,Q,G,left,left,yes,10,1.4967E-5,2015-06-25T21:17:19.972
9213,Q,G,left,left,yes,10,2.4375E-5,2015-06-25T21:17:20.005
9213,Q,G,left,left,yes,10,1.4967E-5,2015-06-25T21:17:20.040
9213,Q,G,left,left,yes,10,1.4112E-5,2015-06-25T21:17:20.080
9213,Q,G,left,left,yes,10,1.4967E-5,2015-06-25T21:17:20.119
9213,Q,G,left,left,yes,10,1.1118E-5,2015-06-25T21:17:20.163
9213,O,F,left,left,yes,9,1.7106E-5,2015-06-25T21:17:20.182
9213,O,F,left,left,yes,9,1.4967E-5,2015-06-25T21:17:20.214
9213,O,F,left,left,yes,9,1.5823E-5,2015-06-25T21:17:20.246
9213,O,F,left,left,yes,9,1.4539E-5,2015-06-25T21:17:20.277
9213,O,F,left,left,yes,9,1.625E-5,2015-06-25T21:17:20.309
9213,Q,H,left,left,yes,9,1.4112E-5,2015-06-25T21:17:21.103
9213,U,Z,right,left,no,5,6.9276E-5,2015-06-25T21:17:23.706
9213,P,Y,right,left,no,9,1.5395E-5,2015-06-25T21:17:25.283
9213,Q,X,right,left,no,7,8.981E-6,2015-06-25T21:17:29.405
9213,Q,X,right,left,no,7,1.7961E-5,2015-06-25T21:17:29.958
9213,Q,X,right,left,no,7,1.796E-5,2015-06-25T21:17:29.991
9213,Q,X,right,left,no,7,1.454E-5,2015-06-25T21:17:30.022
9213,Q,X,right,left,no,7,9.835E-6,2015-06-25T21:17:30.054
9213,Q,X,right,left,no,7,7.698E-6,2015-06-25T21:17:30.085
9213,Q,X,right,left,no,7,8.553E-6,2015-06-25T21:17:30.117
9213,Q,X,right,left,no,7,8.553E-6,2015-06-25T21:17:30.148
9213,G,W,right,left,no,16,1.4539E-5,2015-06-25T21:17:33.577
9213,G,W,right,left,no,16,1.4112E-5,2015-06-25T21:17:34.103
9213,U,T,left,left,yes,1,1.7105E-5,2015-06-25T21:17:35.153
9213,E,L,right,left,no,7,1.4539E-5,2015-06-25T21:17:35.414
