Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
34,O,A,left,left,yes,14,0.924943381,2015-06-28T22:30:36.719,1
34,A,F,right,right,yes,5,0.681015785,2015-06-28T22:30:38.599,2
34,V,J,left,right,no,12,0.677030236,2015-06-28T22:30:40.468,3
34,B,Q,right,right,yes,15,0.510799898,2015-06-28T22:30:42.177,4
34,A,H,right,right,yes,7,0.85038068,2015-06-28T22:30:44.208,5
34,F,K,right,right,yes,5,2.035899451,2015-06-28T22:30:47.400,6
34,R,I,left,right,no,9,1.800747333,2015-06-28T22:30:50.358,7
34,Q,S,right,left,no,2,0.662249492,2015-06-28T22:30:52.225,8
34,N,I,left,right,no,5,0.807760104,2015-06-28T22:30:54.203,9
34,B,L,right,left,no,10,0.741346825,2015-06-28T22:30:56.140,10
34,O,P,right,left,no,1,0.212955772,2015-06-28T22:30:57.531,11
34,J,F,left,left,yes,4,0.234578661,2015-06-28T22:30:58.958,12
34,G,K,right,right,yes,4,7.528100689,2015-06-28T22:31:07.658,13
34,Y,S,left,right,no,6,1.735896201,2015-06-28T22:31:10.581,14
34,T,S,left,right,no,1,1.590048186,2015-06-28T22:31:13.364,15
34,T,B,left,right,no,18,0.072560091,2015-06-28T22:31:14.622,16
34,F,G,right,right,yes,1,0.016817137,2015-06-28T22:31:15.801,17
34,C,O,right,right,yes,12,0.303186558,2015-06-28T22:31:17.286,18
34,U,R,left,right,no,3,0.550464239,2015-06-28T22:31:19.003,19
34,J,I,left,right,no,1,0.24884325,2015-06-28T22:31:20.465,20
34,S,A,left,right,no,18,0.05710283,2015-06-28T22:31:21.692,21
34,L,Y,right,right,yes,13,0.090207693,2015-06-28T22:31:22.957,22
34,U,I,left,right,no,12,0.096294637,2015-06-28T22:31:24.251,23
34,D,E,right,right,yes,1,0.074653787,2015-06-28T22:31:25.505,24
34,N,A,left,right,no,13,0.051313521,2015-06-28T22:31:26.725,25
34,A,N,right,right,yes,13,0.267864413,2015-06-28T22:31:28.188,26
34,R,S,right,right,yes,1,0.033174567,2015-06-28T22:31:29.405,27
34,N,K,left,right,no,3,0.243143315,2015-06-28T22:31:30.824,28
34,V,U,left,right,no,1,0.066916177,2015-06-28T22:31:32.066,29
34,N,J,left,right,no,4,0.073271674,2015-06-28T22:31:33.310,30
34,E,I,right,right,yes,4,0.183439187,2015-06-28T22:31:34.652,31
34,A,V,right,right,yes,21,0.153844344,2015-06-28T22:31:35.975,32
34,X,H,left,right,no,16,0.110840609,2015-06-28T22:31:37.264,33
34,D,T,right,right,yes,16,0.050393252,2015-06-28T22:31:38.483,34
34,M,Y,right,right,yes,12,1.295262072,2015-06-28T22:31:40.952,35
