Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time
423,B,W,right,left,no,21,0.373646539,2015-06-25T17:26:10.975
423,Y,U,left,left,yes,4,0.441011731,2015-06-25T17:26:11.427
423,P,F,left,left,yes,10,0.015623182,2015-06-25T17:26:11.455
423,T,E,left,left,yes,15,0.019904655,2015-06-25T17:26:11.485
423,B,Y,right,left,no,23,0.019684851,2015-06-25T17:26:11.515
423,E,M,right,left,no,8,0.020340841,2015-06-25T17:26:11.547
423,R,A,left,left,yes,17,0.020283111,2015-06-25T17:26:11.578
423,A,Y,right,left,no,24,0.019511659,2015-06-25T17:26:11.609
423,K,U,right,left,no,10,0.02334326,2015-06-25T17:26:11.643
