Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
40,K,N,right,left,no,3,2.512210235,2015-06-28T13:14:08.375,1
40,G,Y,right,right,yes,18,0.560928445,2015-06-28T13:14:08.948,2
40,Y,O,left,left,yes,10,0.215479241,2015-06-28T13:14:09.217,3
40,X,H,left,right,no,16,0.092857742,2015-06-28T13:14:09.317,4
40,U,R,left,left,yes,3,0.101743549,2015-06-28T13:14:09.426,5
40,E,N,right,right,yes,9,0.094196664,2015-06-28T13:14:09.528,6
40,M,L,left,left,yes,1,0.070221788,2015-06-28T13:14:09.605,7
40,C,Z,right,right,yes,23,0.097302998,2015-06-28T13:14:09.710,8
40,U,C,left,left,yes,18,0.06356267,2015-06-28T13:14:09.781,9
40,I,G,left,right,no,2,0.098855309,2015-06-28T13:14:09.888,10
40,G,I,right,left,no,2,0.025558832,2015-06-28T13:14:09.920,11
40,F,Q,right,right,yes,11,0.129420453,2015-06-28T13:14:10.054,12
40,S,I,left,left,yes,10,0.018590963,2015-06-28T13:14:10.080,13
40,E,J,right,left,no,5,0.131723263,2015-06-28T13:14:10.220,14
40,X,P,left,right,no,8,0.00283051,2015-06-28T13:14:10.229,15
40,U,R,left,left,yes,3,0.117547194,2015-06-28T13:14:10.355,16
40,Z,F,left,right,no,20,0.054376663,2015-06-28T13:14:10.417,17
40,D,R,right,left,no,14,0.080097569,2015-06-28T13:14:10.504,18
40,P,M,left,right,no,3,0.094248407,2015-06-28T13:14:10.603,19
40,D,Y,right,left,no,21,0.056322399,2015-06-28T13:14:10.667,20
40,B,Y,right,right,yes,23,0.097397077,2015-06-28T13:14:10.773,21
40,A,P,right,left,no,15,0.028225986,2015-06-28T13:14:10.809,22
40,X,M,left,right,no,11,0.130826942,2015-06-28T13:14:10.948,23
40,D,C,left,left,yes,1,0.002292546,2015-06-28T13:14:10.958,24
40,I,G,left,left,yes,2,0.135886707,2015-06-28T13:14:11.104,25
40,F,Z,right,right,yes,20,0.021912824,2015-06-28T13:14:11.133,26
40,Z,R,left,left,yes,8,0.140024922,2015-06-28T13:14:11.283,27
40,B,K,right,right,yes,9,0.043793576,2015-06-28T13:14:11.335,28
40,P,G,left,left,yes,9,0.118974636,2015-06-28T13:14:11.460,29
40,G,C,left,right,no,4,0.059190112,2015-06-28T13:14:11.527,30
40,M,W,right,left,no,10,0.088840547,2015-06-28T13:14:11.623,31
40,O,A,left,right,no,14,0.075744682,2015-06-28T13:14:11.704,32
40,A,M,right,left,no,12,0.07953523,2015-06-28T13:14:11.788,33
40,X,M,left,right,no,11,0.106698973,2015-06-28T13:14:11.899,34
40,F,V,right,left,no,16,0.063964647,2015-06-28T13:14:11.971,35
40,C,O,right,right,yes,12,0.099427912,2015-06-28T13:14:12.080,36
40,P,Q,right,left,no,1,0.069507212,2015-06-28T13:14:12.157,37
40,N,G,left,right,no,7,0.105289919,2015-06-28T13:14:12.271,38
40,H,B,left,left,yes,6,0.065735907,2015-06-28T13:14:12.344,39
40,O,K,left,right,no,4,0.112426276,2015-06-28T13:14:12.465,40
