Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
243,D,K,right,left,no,7,0.110240211,2015-06-28T15:07:04.938,1
243,J,V,right,left,no,12,0.11022781,2015-06-28T15:07:05.069,2
243,W,T,left,left,yes,3,0.166646853,2015-06-28T15:07:05.240,3
243,S,J,left,left,yes,9,0.119857701,2015-06-28T15:07:05.401,4
243,W,U,left,left,yes,2,0.297318991,2015-06-28T15:07:05.705,5
243,H,P,right,left,no,8,0.195144387,2015-06-28T15:07:05.908,6
243,U,D,left,left,yes,17,0.242565155,2015-06-28T15:07:06.157,7
243,Z,C,left,left,yes,23,0.206373202,2015-06-28T15:07:06.371,8
243,R,P,left,left,yes,2,0.213545053,2015-06-28T15:07:06.592,9
243,F,L,right,left,no,6,0.179330051,2015-06-28T15:07:06.783,10
243,V,N,left,left,yes,8,0.169609502,2015-06-28T15:07:06.960,11
243,V,M,left,left,yes,9,0.193705825,2015-06-28T15:07:07.163,12
243,J,S,right,left,no,9,0.205180957,2015-06-28T15:07:07.376,13
243,G,K,right,left,no,4,0.284715333,2015-06-28T15:07:07.670,14
243,B,R,right,left,no,16,0.323228055,2015-06-28T15:07:08,15
243,M,J,left,left,yes,3,0.256851552,2015-06-28T15:07:08.266,16
243,Q,L,left,left,yes,5,0.296783166,2015-06-28T15:07:08.569,17
243,N,F,left,left,yes,8,0.255521611,2015-06-28T15:07:08.833,18
243,N,Q,right,left,no,3,0.261202302,2015-06-28T15:07:09.102,19
243,J,B,left,left,yes,8,0.264034522,2015-06-28T15:07:09.373,20
243,P,N,left,left,yes,2,0.238700198,2015-06-28T15:07:09.619,21
243,J,B,left,left,yes,8,0.336815273,2015-06-28T15:07:09.964,22
