Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Difficulty,Distance,Response Time,Date/Time,Consecutive Rounds
4444900,I,Z,right,right,yes,EASY,17,0.594723936,2015-06-30T18:00:35.339,1
4444900,G,I,right,right,yes,HARD,2,1.203579896,2015-06-30T18:00:37.686,2
4444900,W,N,left,left,yes,MEDIUM,9,0.865170831,2015-06-30T18:00:39.685,3
4444900,S,B,left,left,yes,EASY,17,1.103936457,2015-06-30T18:00:41.944,4
4444900,N,D,left,left,yes,MEDIUM,10,0.916261982,2015-06-30T18:00:44.008,5
4444900,M,C,left,left,yes,MEDIUM,10,0.987533184,2015-06-30T18:00:46.168,6
4444900,I,Y,right,right,yes,EASY,16,0.746070043,2015-06-30T18:00:48.105,7
4444900,J,Y,right,right,yes,EASY,15,0.939896889,2015-06-30T18:00:50.194,8
4444900,E,P,right,right,yes,MEDIUM,11,0.668005019,2015-06-30T18:00:52.018,9
4444900,T,R,left,left,yes,HARD,2,0.808254449,2015-06-30T18:00:53.965,10
