Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
99999,X,D,left,left,yes,20,0.692135125,2015-06-26T14:49:47.468,1
99999,Q,C,left,left,yes,14,0.182919184,2015-06-26T14:49:48.893,2
99999,G,Z,right,left,no,19,0.006148095,2015-06-26T14:49:50.152,3
99999,R,F,left,right,no,12,0.426004769,2015-06-26T14:49:51.830,4
99999,V,M,left,left,yes,9,0.082618044,2015-06-26T14:49:53.165,5
99999,N,C,left,right,no,11,0.191401306,2015-06-26T14:49:54.610,6
99999,M,T,right,left,no,7,0.062115557,2015-06-26T14:49:55.923,7
99999,N,D,left,right,no,10,0.018632444,2015-06-26T14:49:57.194,8
99999,V,A,left,left,yes,21,0.078993418,2015-06-26T14:49:58.525,9
99999,O,Q,right,left,no,2,0.034387337,2015-06-26T14:49:59.811,10
99999,M,H,left,left,yes,5,0.112249235,2015-06-26T14:50:01.174,11
99999,M,W,right,right,yes,10,0.122331991,2015-06-26T14:50:02.547,12
99999,J,P,right,left,no,6,0.135851214,2015-06-26T14:50:03.935,13
99999,U,M,left,left,yes,8,0.183910867,2015-06-26T14:50:05.370,14
99999,G,D,left,left,yes,3,0.378121301,2015-06-26T14:50:54.117,1
99999,O,P,right,right,yes,1,0.151446173,2015-06-26T14:50:55.512,2
99999,P,G,left,right,no,9,0.158044139,2015-06-26T14:50:56.923,3
99999,W,U,left,right,no,2,0.101987729,2015-06-26T14:50:58.277,4
99999,R,X,right,right,yes,6,0.018865931,2015-06-26T14:50:59.548,5
