Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
88,D,J,right,right,yes,6,3.473628236,2015-06-28T12:52:19.021,1
88,G,V,right,right,yes,15,0.29041826,2015-06-28T12:52:19.327,2
88,U,G,left,right,no,14,0.326799655,2015-06-28T12:52:19.661,3
88,G,O,right,right,yes,8,0.298665183,2015-06-28T12:52:19.967,4
88,H,P,right,right,yes,8,0.365018594,2015-06-28T12:52:20.339,5
88,Y,Q,left,right,no,8,0.278342729,2015-06-28T12:52:20.625,6
88,E,Y,right,right,yes,20,0.314404254,2015-06-28T12:52:20.947,7
88,U,X,right,right,yes,3,0.311607955,2015-06-28T12:52:21.265,8
88,E,C,left,right,no,2,0.303047577,2015-06-28T12:52:21.576,9
88,G,Z,right,right,yes,19,0.298144753,2015-06-28T12:52:21.881,10
88,G,W,right,right,yes,16,0.312647533,2015-06-28T12:52:22.198,11
88,Q,E,left,right,no,12,0.257636262,2015-06-28T12:52:22.465,12
88,M,S,right,right,yes,6,0.296311485,2015-06-28T12:52:22.769,13
88,J,M,right,right,yes,3,0.256939646,2015-06-28T12:52:23.033,14
88,A,M,right,right,yes,12,0.379322953,2015-06-28T12:52:23.419,15
88,T,K,left,right,no,9,0.346756909,2015-06-28T12:52:23.773,16
88,G,K,right,right,yes,4,0.287750679,2015-06-28T12:52:24.069,17
88,H,M,right,right,yes,5,0.338490743,2015-06-28T12:52:24.414,18
88,P,E,left,right,no,11,0.326462679,2015-06-28T12:52:24.747,19
88,B,D,right,right,yes,2,0.321987061,2015-06-28T12:52:25.078,20
88,S,D,left,right,no,15,0.358725531,2015-06-28T12:52:25.444,21
88,Y,I,left,right,no,16,0.284706352,2015-06-28T12:52:25.738,22
88,U,F,left,right,no,15,0.438309939,2015-06-28T12:52:26.184,23
88,P,W,right,right,yes,7,0.394826397,2015-06-28T12:52:26.586,24
88,V,Z,right,right,yes,4,0.412524033,2015-06-28T12:52:27.005,25
88,D,V,right,right,yes,18,0.301862175,2015-06-28T12:52:27.311,26
88,J,H,left,right,no,2,0.346167629,2015-06-28T12:52:27.665,27
88,S,K,left,right,no,8,0.342853466,2015-06-28T12:52:28.015,28
88,G,E,left,right,no,2,0.428397809,2015-06-28T12:52:28.451,29
88,M,Q,right,right,yes,4,0.395839462,2015-06-28T12:52:28.857,30
88,M,X,right,right,yes,11,0.292707386,2015-06-28T12:52:29.234,31
88,E,J,right,right,yes,5,0.291235041,2015-06-28T12:52:29.533,32
88,X,T,left,right,no,4,0.275433536,2015-06-28T12:52:29.816,33
88,V,G,left,right,no,15,0.311885063,2015-06-28T12:52:30.135,34
88,O,P,right,right,yes,1,0.262992378,2015-06-28T12:52:30.405,35
88,H,W,right,right,yes,15,0.400657188,2015-06-28T12:52:30.814,36
88,X,S,left,right,no,5,0.42166471,2015-06-28T12:52:31.243,37
88,K,Z,right,right,yes,15,0.326587976,2015-06-28T12:52:31.573,38
88,F,I,right,right,yes,3,0.388706955,2015-06-28T12:52:31.966,39
88,Q,L,left,right,no,5,0.30945268,2015-06-28T12:52:32.283,40
