Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
89,E,N,right,right,yes,9,0.658242561,2015-06-28T22:59:48.661,1
89,F,N,right,left,no,8,1.071037286,2015-06-29T14:39:07.663,1
89,J,M,right,right,yes,3,0.389058469,2015-06-29T14:39:09.263,2
89,V,R,left,right,no,4,0.044759174,2015-06-29T14:39:10.503,3
89,Z,K,left,right,no,15,0.018646983,2015-06-29T14:39:11.729,4
89,J,A,left,right,no,9,0.009215087,2015-06-29T14:39:12.967,5
89,J,U,right,right,yes,11,0.164387235,2015-06-29T14:39:14.365,6
89,X,D,left,left,yes,20,0.64935547,2015-06-29T14:39:16.185,7
89,W,R,left,left,yes,5,0.566459036,2015-06-29T14:39:18.007,8
89,U,X,right,right,yes,3,0.613498782,2015-06-29T14:39:19.866,9
89,A,H,right,right,yes,7,0.716689873,2015-06-29T14:39:21.773,10
89,J,M,right,right,yes,3,6.078811246,2015-06-29T14:39:29.057,11
89,T,F,left,right,no,14,0.340738815,2015-06-29T14:39:30.603,12
89,Q,Y,right,right,yes,8,0.095385058,2015-06-29T14:39:31.902,13
89,T,X,right,right,yes,4,0.626464647,2015-06-29T14:39:33.702,14
89,H,C,left,right,no,5,0.316168244,2015-06-29T14:39:35.218,15
89,V,O,left,right,no,7,0.554077319,2015-06-29T14:39:36.972,16
89,C,S,right,left,no,16,0.228466059,2015-06-29T14:39:38.384,17
89,G,X,right,left,no,17,0.030565571,2015-06-29T14:39:39.605,18
89,G,P,right,left,no,9,0.062630001,2015-06-29T14:39:40.862,19
89,X,I,left,left,yes,15,0.058030369,2015-06-29T14:39:42.105,20
89,O,F,left,right,no,9,1.212199288,2015-06-29T14:39:44.488,21
89,C,J,right,left,no,7,0.017417535,2015-06-29T14:39:45.688,22
89,E,U,right,right,yes,16,0.755985167,2015-06-29T14:39:47.621,23
89,U,O,left,left,yes,6,1.867974828,2015-06-29T15:20:25.896,1
89,Y,V,left,left,yes,3,0.489920237,2015-06-29T15:20:26.400,2
89,J,R,right,left,no,8,0.027799635,2015-06-29T15:20:26.435,3
89,K,W,right,left,no,12,0.02191197,2015-06-29T15:20:26.465,4
89,O,D,left,left,yes,11,0.025992453,2015-06-29T15:20:26.498,5
89,O,U,right,left,no,6,0.023360366,2015-06-29T15:20:26.531,6
89,G,C,left,left,yes,4,0.030038299,2015-06-29T15:20:26.596,7
89,U,C,left,left,yes,18,0.028325197,2015-06-29T15:20:26.628,8
89,D,I,right,left,no,5,0.028047235,2015-06-29T15:20:26.660,9
89,H,L,right,left,no,4,0.027534501,2015-06-29T15:20:26.693,10
89,A,W,right,left,no,22,0.028367105,2015-06-29T15:20:26.726,11
89,M,I,left,left,yes,4,0.031026561,2015-06-29T15:20:26.761,12
89,Q,H,left,left,yes,9,0.025655477,2015-06-29T15:20:26.792,13
89,E,S,right,left,no,14,0.024663367,2015-06-29T15:20:26.825,14
89,P,A,left,left,yes,15,0.333096995,2015-06-29T15:20:27.194,15
89,I,V,right,left,no,13,0.156449064,2015-06-29T15:20:27.358,16
89,K,U,right,left,no,10,0.172568302,2015-06-29T15:20:27.540,17
89,Q,G,left,left,yes,10,0.139389886,2015-06-29T15:20:27.687,18
89,I,A,left,left,yes,8,0.138862185,2015-06-29T15:20:27.834,19
89,P,I,left,left,yes,7,0.548393207,2015-06-29T15:20:28.390,20
89,M,U,right,left,no,8,0.023170924,2015-06-29T15:20:28.424,21
89,E,D,left,left,yes,1,0.029202275,2015-06-29T15:20:28.460,22
89,R,Z,right,left,no,8,0.035225928,2015-06-29T15:20:28.499,23
89,I,R,right,left,no,9,0.0302983,2015-06-29T15:20:28.533,24
89,J,U,right,left,no,11,0.029359216,2015-06-29T15:20:28.566,25
89,U,I,left,left,yes,12,0.02635637,2015-06-29T15:20:28.599,26
89,E,L,right,left,no,7,0.027962136,2015-06-29T15:20:28.631,27
89,G,I,right,left,no,2,0.028746844,2015-06-29T15:20:28.665,28
89,X,J,left,left,yes,14,0.027955293,2015-06-29T15:20:28.697,29
89,I,D,left,left,yes,5,0.028571087,2015-06-29T15:20:28.729,30
89,Z,V,left,left,yes,4,0.065768407,2015-06-29T15:20:28.799,31
89,O,W,right,left,no,8,0.022715921,2015-06-29T15:20:28.826,32
89,X,L,left,left,yes,12,0.028034833,2015-06-29T15:20:28.860,33
89,O,X,right,left,no,9,0.02858862,2015-06-29T15:20:28.892,34
89,P,S,right,left,no,3,0.029479382,2015-06-29T15:20:28.926,35
89,N,X,right,left,no,10,0.029202702,2015-06-29T15:20:28.959,36
89,S,H,left,left,yes,11,0.023250891,2015-06-29T15:20:28.990,37
89,P,T,right,left,no,4,0.250429772,2015-06-29T15:20:29.245,38
89,O,Q,right,left,no,2,0.150886828,2015-06-29T15:20:29.405,39
89,C,L,right,left,no,9,0.140599235,2015-06-29T15:20:29.553,40
