Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
3,N,T,right,right,yes,6,0.607864276,2015-06-30T15:49:55.565,1
3,N,Y,right,right,yes,11,0.533621444,2015-06-30T15:49:57.256,2
3,V,O,left,left,yes,7,0.856751144,2015-06-30T15:49:59.266,3
3,F,U,right,right,yes,15,2.448675361,2015-06-30T17:31:44.303,1
3,K,G,left,left,yes,4,3.145833048,2015-06-30T17:31:48.623,2
3,X,I,left,left,yes,15,9.843102776,2015-06-30T17:31:59.629,3
3,E,T,right,right,yes,15,2.521549336,2015-06-30T17:32:03.314,4
3,Z,R,left,left,yes,8,1.051095427,2015-06-30T17:32:05.555,5
3,P,B,left,left,yes,14,2.163111175,2015-06-30T17:32:08.881,6
3,O,Z,right,right,yes,11,2.43850494,2015-06-30T17:32:12.472,7
3,V,S,left,right,no,3,2.961092143,2015-06-30T17:32:16.594,8
3,D,S,right,left,no,MEDIUM,15,0.293755944,2015-06-30T17:50:51.464,1
3,O,D,left,left,yes,MEDIUM,11,0.027957859,2015-06-30T17:50:52.639,2
3,J,B,left,left,yes,HARD,8,0.029188163,2015-06-30T17:50:53.837,3
3,R,N,left,left,yes,HARD,4,0.026042486,2015-06-30T17:50:55.024,4
3,R,V,right,left,no,MEDIUM,4,0.020350677,2015-06-30T17:50:56.196,5
