Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time
94,D,A,left,left,yes,3,0.478268493,2015-06-25T17:35:05.378
94,U,N,left,left,yes,7,0.303207085,2015-06-25T17:35:05.699
94,O,D,left,left,yes,11,0.205646652,2015-06-25T17:35:05.916
94,I,T,right,left,no,11,0.409040954,2015-06-25T17:35:06.336
94,M,S,right,left,no,6,0.458670879,2015-06-25T17:35:06.807
94,A,K,right,left,no,10,0.258274291,2015-06-25T17:35:07.078
94,Y,G,left,left,yes,18,0.183339548,2015-06-25T17:35:07.273
94,T,M,left,left,yes,7,0.344816734,2015-06-25T17:35:07.630
94,M,S,right,left,no,6,0.16174018,2015-06-25T17:35:07.804
94,F,T,right,left,no,14,0.421340136,2015-06-25T17:35:08.236
94,T,K,left,left,yes,9,0.502543995,2015-06-25T17:35:08.751
94,U,J,left,left,yes,11,0.49862088,2015-06-25T17:35:09.260
94,K,N,right,left,no,3,1.106198641,2015-06-25T17:35:10.377
94,U,N,left,left,yes,7,0.432847342,2015-06-25T17:35:10.821
94,I,L,right,left,no,3,0.247931534,2015-06-25T17:35:11.082
94,R,E,left,left,yes,13,0.790574347,2015-06-25T17:35:11.883
94,W,R,left,left,yes,5,0.347410334,2015-06-25T17:35:12.242
94,E,I,right,left,no,4,0.338332518,2015-06-25T17:35:12.592
94,L,W,right,left,no,11,0.377020571,2015-06-25T17:35:12.980
94,E,N,right,left,no,9,0.373126963,2015-06-25T17:35:13.364
94,V,T,left,left,yes,2,0.540583755,2015-06-25T17:35:13.915
94,W,Z,right,left,no,3,0.477969577,2015-06-25T17:35:14.444
94,V,U,left,left,yes,1,0.349969723,2015-06-25T17:35:14.806
94,M,F,left,left,yes,7,0.335108157,2015-06-25T17:35:15.153
94,V,L,left,left,yes,10,0.335307007,2015-06-25T17:35:15.498
94,F,L,right,left,no,6,0.297212082,2015-06-25T17:35:15.809
94,I,O,right,left,no,6,0.289200359,2015-06-25T17:35:16.109
94,Z,H,left,left,yes,18,0.378231631,2015-06-25T17:35:16.499
94,B,V,right,left,no,20,0.35776763,2015-06-25T17:35:16.868
94,J,T,right,left,no,10,0.31532153,2015-06-25T17:35:17.199
94,V,S,left,left,yes,3,0.399250272,2015-06-25T17:35:17.606
94,C,N,right,left,no,11,0.44805914,2015-06-25T17:35:18.066
94,W,I,left,left,yes,14,0.331117904,2015-06-25T17:35:18.409
94,D,N,right,left,no,10,0.351757662,2015-06-25T17:35:18.771
94,M,H,left,left,yes,5,0.356429992,2015-06-25T17:35:19.139
94,Y,M,left,left,yes,12,0.291286358,2015-06-25T17:35:19.441
94,A,Z,right,left,no,25,0.329075523,2015-06-25T17:35:19.782
94,L,Q,right,left,no,5,0.452641239,2015-06-25T17:35:20.246
94,Q,E,left,left,yes,12,0.324458358,2015-06-25T17:35:20.582
94,N,K,left,left,yes,3,0.368904932,2015-06-25T17:35:20.962
94,W,P,left,left,yes,7,0.422890737,2015-06-25T17:35:21.395
94,B,E,right,left,no,3,0.651744233,2015-06-25T17:35:22.058
94,A,D,right,left,no,3,0.50147662,2015-06-25T17:35:22.571
94,L,K,left,left,yes,1,0.278795595,2015-06-25T17:35:22.861
94,S,V,right,left,no,3,0.330097569,2015-06-25T17:35:23.201
94,R,O,left,left,yes,3,0.332045442,2015-06-25T17:35:23.544
94,S,F,left,left,yes,13,0.322755092,2015-06-25T17:35:23.892
94,P,Q,right,left,no,1,0.373082061,2015-06-25T17:35:24.275
94,U,S,left,left,yes,2,0.345816542,2015-06-25T17:35:24.632
94,Y,H,left,left,yes,17,0.30739576,2015-06-25T17:35:24.989
94,V,I,left,left,yes,13,0.296885798,2015-06-25T17:35:25.297
94,A,R,right,left,no,17,0.304053372,2015-06-25T17:35:25.662
94,I,O,right,left,no,6,0.330683855,2015-06-25T17:35:26.004
94,P,C,left,left,yes,13,0.240338464,2015-06-25T17:35:26.255
94,Y,W,left,left,yes,2,0.340472826,2015-06-25T17:35:26.607
94,K,M,right,left,no,2,0.306334372,2015-06-25T17:35:26.925
94,K,H,left,left,yes,3,0.310161697,2015-06-25T17:35:27.245
94,S,L,left,left,yes,7,0.314209254,2015-06-25T17:35:27.571
94,F,N,right,left,no,8,0.31241319,2015-06-25T17:35:27.895
94,C,O,right,left,no,12,0.297705145,2015-06-25T17:35:28.204
94,B,I,right,left,no,7,0.282936803,2015-06-25T17:35:28.496
94,Z,D,left,left,yes,22,0.415552537,2015-06-25T17:35:28.924
94,V,J,left,left,yes,12,1.641369404,2015-06-25T17:35:30.575
94,N,H,left,left,yes,6,0.264066595,2015-06-25T17:35:30.850
94,E,Y,right,left,no,20,0.346719705,2015-06-25T17:35:31.208
94,E,P,right,left,no,11,0.4583617,2015-06-25T17:35:31.677
94,U,W,right,left,no,2,0.206472412,2015-06-25T17:35:31.894
94,K,D,left,left,yes,7,0.282993678,2015-06-25T17:35:32.188
