Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
132,E,M,right,right,yes,8,10.217676424,2015-06-26T23:31:12.100,1
132,A,Z,right,right,yes,25,0.787400874,2015-06-26T23:31:12.921,2
132,P,H,left,right,no,8,0.968941366,2015-06-26T23:31:13.900,3
132,F,A,left,right,no,5,0.384228343,2015-06-26T23:31:14.294,4
132,Z,X,left,right,no,2,0.207932782,2015-06-26T23:31:14.513,5
132,C,V,right,right,yes,19,0.557843065,2015-06-26T23:31:15.083,6
132,B,T,right,right,yes,18,0.009446864,2015-06-26T23:31:15.116,7
132,U,X,right,right,yes,3,0.02303964,2015-06-26T23:31:15.149,8
132,Z,Q,left,right,no,9,0.022494834,2015-06-26T23:31:15.181,9
132,N,R,right,right,yes,4,0.022458486,2015-06-26T23:31:15.214,10
132,V,E,left,right,no,17,0.021925226,2015-06-26T23:31:15.246,11
132,U,X,right,right,yes,3,0.020605119,2015-06-26T23:31:15.279,12
132,T,B,left,right,no,18,0.022940001,2015-06-26T23:31:15.311,13
132,T,H,left,right,no,12,0.021911542,2015-06-26T23:31:15.344,14
132,U,R,left,right,no,3,0.020441763,2015-06-26T23:31:15.377,15
132,F,Z,right,right,yes,20,0.021958581,2015-06-26T23:31:15.410,16
132,Y,C,left,right,no,22,0.021629303,2015-06-26T23:31:15.441,17
132,D,V,right,right,yes,18,0.022380228,2015-06-26T23:31:15.474,18
132,D,G,right,right,yes,3,0.022037266,2015-06-26T23:31:15.507,19
132,P,E,left,right,no,11,0.022669737,2015-06-26T23:31:15.540,20
132,V,J,left,right,no,12,0.022206609,2015-06-26T23:31:15.572,21
132,R,C,left,right,no,15,0.022702664,2015-06-26T23:31:15.605,22
132,D,J,right,right,yes,6,0.022300688,2015-06-26T23:31:15.638,23
132,H,W,right,right,yes,15,0.022454636,2015-06-26T23:31:15.671,24
132,I,V,right,right,yes,13,0.023937243,2015-06-26T23:31:15.705,25
132,U,S,left,right,no,2,0.021916245,2015-06-26T23:31:15.737,26
132,H,Y,right,right,yes,17,0.028004471,2015-06-26T23:31:15.776,27
132,M,C,left,right,no,10,0.022827533,2015-06-26T23:31:15.809,28
132,D,Z,right,right,yes,22,0.022374669,2015-06-26T23:31:15.843,29
132,Z,P,left,right,no,10,0.021226044,2015-06-26T23:31:15.876,30
132,O,R,right,right,yes,3,0.02302339,2015-06-26T23:31:15.908,31
132,Y,D,left,right,no,21,0.02118157,2015-06-26T23:31:15.940,32
132,M,A,left,right,no,12,0.022937008,2015-06-26T23:31:15.973,33
132,Z,E,left,right,no,21,0.022286149,2015-06-26T23:31:16.005,34
132,O,V,right,right,yes,7,0.029902311,2015-06-26T23:31:16.045,35
132,Z,H,left,right,no,18,0.028451777,2015-06-26T23:31:16.084,36
132,T,L,left,right,no,8,0.026955485,2015-06-26T23:31:16.121,37
132,O,H,left,right,no,7,0.022641085,2015-06-26T23:31:16.154,38
132,O,Y,right,right,yes,10,0.022377662,2015-06-26T23:31:16.187,39
132,T,U,right,right,yes,1,0.02145996,2015-06-26T23:31:16.219,40
