Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Difficulty,Distance,Response Time,Date/Time,Consecutive Rounds
909090,S,E,left,left,yes,EASY,14,0.699260364,2015-06-30T17:53:10.896,1
909090,F,Q,right,right,yes,MEDIUM,11,1.133709195,2015-06-30T17:53:13.159,2
909090,H,S,right,right,yes,MEDIUM,11,1.068555725,2015-06-30T17:53:15.383,3
909090,C,K,right,right,yes,MEDIUM,8,1.197726013,2015-06-30T17:53:17.757,4
909090,T,K,left,left,yes,MEDIUM,9,0.643544351,2015-06-30T17:53:19.568,5
909090,J,X,right,right,yes,EASY,14,0.537386335,2015-06-30T17:53:21.249,6
909090,O,G,left,left,yes,MEDIUM,8,1.37601392,2015-06-30T17:53:23.789,7
909090,H,Y,right,right,yes,EASY,17,0.717891524,2015-06-30T17:53:25.702,8
909090,Y,P,left,left,yes,MEDIUM,9,1.536324947,2015-06-30T17:53:28.404,9
909090,I,Q,right,right,yes,MEDIUM,8,2.532479662,2015-06-30T17:53:32.105,10
909090,T,D,left,right,no,EASY,16,0.367402654,2015-06-30T17:53:33.659,11
909090,E,M,right,right,yes,MEDIUM,8,0.009197981,2015-06-30T17:53:34.842,12
909090,S,E,left,right,no,EASY,14,0.059208501,2015-06-30T17:53:36.079,13
909090,Q,N,left,right,no,HARD,3,0.144663469,2015-06-30T17:53:37.399,14
909090,N,Y,right,right,yes,MEDIUM,11,0.360467284,2015-06-30T17:53:38.946,15
909090,A,R,right,right,yes,EASY,17,0.10331767,2015-06-30T17:53:40.219,16
909090,Y,J,left,right,no,EASY,15,0.175578418,2015-06-30T17:53:41.557,17
909090,V,R,left,right,no,HARD,4,0.112337328,2015-06-30T17:53:42.829,18
909090,M,Q,right,right,yes,HARD,4,0.073343089,2015-06-30T17:53:44.079,19
909090,A,I,right,right,yes,MEDIUM,8,0.047516986,2015-06-30T17:53:45.293,20
909090,S,H,left,right,no,MEDIUM,11,0.347768264,2015-06-30T17:53:46.804,21
909090,T,Q,left,right,no,HARD,3,0.133059191,2015-06-30T17:53:48.103,22
