Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
5,K,N,right,left,no,3,0.789089173,2015-06-30T14:17:24.061,1
5,V,W,right,left,no,1,0.126081915,2015-06-30T14:17:25.341,2
5,V,J,left,left,yes,12,0.150861597,2015-06-30T14:17:26.651,3
5,V,X,right,left,no,2,0.238169077,2015-06-30T14:17:28.044,4
5,Y,U,left,left,yes,4,0.164112694,2015-06-30T14:17:29.352,5
5,T,I,left,left,yes,11,0.161895411,2015-06-30T14:17:30.652,6
5,Y,H,left,left,yes,17,0.091464509,2015-06-30T14:17:31.894,7
5,E,Q,right,left,no,12,0.23369303,2015-06-30T14:17:33.271,8
5,Q,D,left,left,yes,13,0.086579646,2015-06-30T14:17:34.527,9
5,S,V,right,left,no,3,0.045978358,2015-06-30T14:17:35.723,10
5,L,S,right,left,no,7,0.156121496,2015-06-30T14:17:37.025,11
5,U,F,left,left,yes,15,0.327665187,2015-06-30T14:17:38.477,12
5,E,K,right,right,yes,6,123.507876592,2015-06-30T14:19:43.170,13
5,J,A,left,left,yes,9,0.490273035,2015-06-30T14:19:44.830,14
5,F,H,right,right,yes,2,0.999822531,2015-06-30T14:19:46.987,15
5,J,N,right,right,yes,4,0.993382363,2015-06-30T14:19:49.158,16
5,N,Z,right,right,yes,12,0.503353934,2015-06-30T14:19:50.820,17
5,S,A,left,left,yes,18,0.746320209,2015-06-30T14:19:52.706,18
5,J,A,left,left,yes,9,1.235312053,2015-06-30T14:19:55.108,19
5,G,H,right,right,yes,1,0.756095924,2015-06-30T14:19:57.034,20
5,A,K,right,right,yes,10,0.554390776,2015-06-30T14:19:58.735,21
5,Y,W,left,right,no,2,0.588333801,2015-06-30T14:20:00.467,22
5,P,K,left,right,no,5,0.984168559,2015-06-30T14:20:02.594,23
5,P,N,left,right,no,2,2.513636395,2015-06-30T14:20:06.278,24
5,B,F,right,right,yes,4,2.426896813,2015-06-30T14:20:09.876,25
5,E,V,right,right,yes,17,10.386933129,2015-06-30T14:20:21.424,26
5,O,I,left,left,yes,6,4.508396167,2015-06-30T14:20:27.126,27
5,V,U,left,right,no,1,1.14041578,2015-06-30T14:20:29.417,28
5,N,C,left,left,yes,11,1.11901911,2015-06-30T14:20:31.671,29
5,A,P,right,right,yes,15,0.830081318,2015-06-30T14:20:33.655,30
5,A,T,right,right,yes,19,1.08883114,2015-06-30T14:20:35.918,31
5,E,W,right,right,yes,18,0.973119351,2015-06-30T14:20:38.070,32
5,Y,R,left,left,yes,7,0.747981567,2015-06-30T14:20:39.993,33
5,I,M,right,right,yes,4,0.891286442,2015-06-30T14:20:42.039,34
5,Y,E,left,left,yes,20,1.025108106,2015-06-30T14:20:44.213,35
5,U,I,left,left,yes,12,1.283879735,2015-06-30T14:20:46.681,36
5,X,E,left,left,yes,19,38.303347776,2015-06-30T14:21:26.141,37
5,N,R,right,right,yes,4,0.991632912,2015-06-30T14:21:28.289,38
5,X,Z,right,right,yes,2,0.59837807,2015-06-30T14:21:30.044,39
5,Z,N,left,left,yes,12,0.556417334,2015-06-30T14:21:31.773,40
