Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
123,Y,Z,right,right,yes,1,1.003468968,2015-06-28T15:07:18.525,1
123,X,J,left,right,no,14,1.251936327,2015-06-28T15:07:19.792,2
123,S,U,right,left,no,2,0.463428736,2015-06-28T15:07:20.262,3
123,O,D,left,right,no,11,0.815903967,2015-06-28T15:07:21.085,4
123,R,S,right,right,yes,1,1.036174848,2015-06-28T15:07:22.129,5
123,W,V,left,left,yes,1,0.789745592,2015-06-28T15:07:22.926,6
123,P,F,left,right,no,10,0.92441226,2015-06-28T15:07:23.857,7
123,Y,H,left,right,no,17,0.736364033,2015-06-28T15:07:24.601,8
123,E,Z,right,right,yes,21,0.532164068,2015-06-28T15:07:25.141,9
123,U,D,left,right,no,17,0.70280545,2015-06-28T15:07:25.852,10
123,Y,W,left,right,no,2,0.878991964,2015-06-28T15:07:26.741,11
123,Q,A,left,left,yes,16,1.317817629,2015-06-28T15:07:28.066,12
123,A,S,right,right,yes,18,1.482736413,2015-06-28T15:07:29.555,13
123,T,W,right,right,yes,3,0.982150554,2015-06-28T15:07:30.546,14
123,H,O,right,right,yes,7,1.702414165,2015-06-28T15:07:32.256,15
123,H,A,left,left,yes,7,1.463944462,2015-06-28T15:07:33.729,16
123,S,A,left,left,yes,18,1.468797682,2015-06-28T15:07:35.205,17
